class,redshift,alpha,delta,u,g,r,i,z,u_g,u_r,u_i,u_z,g_r,g_i,g_z,r_i,r_z,i_z,mean_mag,mag_std,mag_span,redshift_bin
GALAXY,0.631842,128.204052012946,10.9375528707412,24.28304,22.77654,21.10606,19.88643,19.51662,1.506499999999999,3.1769800000000004,4.396609999999999,4.76642,1.6704800000000013,2.89011,3.259920000000001,1.2196299999999987,1.5894399999999997,0.3698100000000011,21.513738,2.004152903528072,4.76642,high
GALAXY,0.2469258,123.733074075441,26.5227465109542,19.89056,19.18998,18.65115,18.21801,18.03095,0.7005800000000022,1.2394099999999995,1.672550000000001,1.85961,0.5388299999999973,0.9719699999999989,1.1590299999999978,0.43314000000000163,0.6202000000000005,0.1870599999999989,18.79613,0.7572379438789368,1.85961,low
GALAXY,0.3030107,343.133918948513,29.6247871749802,21.75958,21.36788,20.68954,20.53941,19.9923,0.39170000000000016,1.0700399999999988,1.2201699999999995,1.7672799999999995,0.6783399999999986,0.8284699999999994,1.3755799999999994,0.15013000000000076,0.6972400000000007,0.54711,20.869742,0.6984714718011034,1.7672799999999995,low
GALAXY,0.4905083,198.371006296621,45.9502971134427,25.93223,21.57711,20.25621,19.38229,18.99537,4.355119999999999,5.676020000000001,6.549939999999999,6.936859999999999,1.3209000000000017,2.19482,2.58174,0.8739199999999983,1.2608399999999982,0.38691999999999993,21.228642,2.8101296032959047,6.936859999999999,high
GALAXY,0.1838129,318.498579446727,6.79172395541297,19.49549,18.4589,17.29881,16.71295,16.38074,1.0365900000000003,2.1966800000000006,2.782540000000001,3.114750000000001,1.1600900000000003,1.7459500000000006,2.0781600000000005,0.5858600000000003,0.9180700000000002,0.3322099999999999,17.669378000000002,1.2913842458656528,3.114750000000001,low
GALAXY,0.5650808,222.9392681346,10.8770079535034,24.56181,22.31184,20.70642,19.57155,19.04754,2.249970000000001,3.85539,4.990260000000003,5.51427,1.6054199999999987,2.7402900000000017,3.2642999999999986,1.134870000000003,1.65888,0.524009999999997,21.239832,2.2393401031933498,5.51427,high
STAR,-0.000144605,345.636128687893,2.59090733764838,25.61757,23.6519,22.16333,20.61407,19.89936,1.9656699999999994,3.454240000000002,5.003499999999999,5.718209999999999,1.4885700000000028,3.0378299999999996,3.7525399999999998,1.5492599999999968,2.263969999999997,0.7147100000000002,22.389246,2.3139895816381713,5.718209999999999,very_low
STAR,3.377667e-05,327.396122199374,29.7272289499103,22.30411,20.27451,20.95798,20.43024,19.31049,2.029600000000002,1.3461300000000023,1.8738700000000001,2.99362,-0.6834699999999998,-0.15573000000000192,0.9640199999999979,0.5277399999999979,1.6474899999999977,1.1197499999999998,20.655466,1.0970820872341323,2.99362,very_low
STAR,0.000196994,49.080386004921,6.66499556360608,21.05753,20.09854,19.52782,19.22797,19.03996,0.95899,1.5297100000000015,1.8295600000000007,2.017569999999999,0.5707200000000014,0.8705700000000007,1.0585799999999992,0.2998499999999993,0.48785999999999774,0.18800999999999846,19.790364,0.8137881550071863,2.017569999999999,very_low
QSO,0.9310741,177.008706245397,42.1201605855783,21.61161,21.28994,21.25487,21.144,20.79161,0.32166999999999746,0.3567399999999985,0.4676100000000005,0.8200000000000003,0.035070000000001045,0.14594000000000307,0.4983300000000028,0.11087000000000202,0.4632600000000018,0.35238999999999976,21.218405999999998,0.2952741101586798,0.8200000000000003,very_high
