label,redshift,score
GALAXY,0.8198006,1.5659195923944935e-05
GALAXY,-3.241274e-05,2.8043381462339312e-05
GALAXY,0.6769403,1.4248949810280465e-05
GALAXY,0.6190667,4.891499884251971e-06
GALAXY,0.6288519,2.7436573873274028e-05
GALAXY,0.7824289,2.46303238782275e-06
STAR,0.5306394,0.9995394945144653
STAR,0.8287492,0.9992877840995789
STAR,0.612078,0.9999175071716309
QSO,0.8170815,4.72581377835013e-05
STAR,0.6025776,0.9999580383300781
GALAXY,0.4361431,7.786539208609611e-05
GALAXY,0.978978,3.5354453302716138e-06
GALAXY,0.1675635,6.055729954823619e-06
GALAXY,-0.0001397442,1.7332842617179267e-05
GALAXY,0.5701911,4.0958125282486435e-06
GALAXY,0.8754708,4.770275154442061e-06
GALAXY,3.092446,1.7258751086046686e-06
GALAXY,2.144086,4.401447313284734e-06
GALAXY,-0.0002975725,5.737161245633615e-06
GALAXY,0.7046906,9.116511137108319e-06
GALAXY,0.08253661,3.808921519521391e-06
GALAXY,0.5372863,7.862790880608372e-06
QSO,0.01689886,1.3670442058355547e-06
QSO,0.6640339,4.440064003574662e-06
GALAXY,-0.0004316056,1.019025944515306e-06
GALAXY,0.4856087,3.4817530831787735e-06
QSO,0.515533,6.00678390583198e-07
GALAXY,0.000153116,4.53647453468875e-06
GALAXY,0.8753189,2.794716920107021e-06
QSO,0.4762043,3.3935191368072992e-06
GALAXY,0.1665385,8.00559064373374e-06
GALAXY,0.7507765,2.0950260477548e-06
QSO,0.4450438,0.00015678037016186863
GALAXY,0.4882241,1.0885491064982489e-05
GALAXY,0.1969166,1.6406740542151965e-05
GALAXY,0.1141901,3.839366399915889e-06
QSO,4.880687e-05,8.940397674450651e-05
QSO,0.8455127,2.5866052055789623e-06
QSO,0.5043982,2.840419710992137e-06
QSO,0.6317963,9.47425087360898e-06
GALAXY,-0.0003591864,2.5075285066122888e-06
QSO,0.2892357,1.8130377839042922e-06
GALAXY,0.5634344,5.5479767979704775e-06
GALAXY,0.5976875,1.678369881119579e-05
GALAXY,0.6406396,2.4160981411114335e-06
STAR,0.129845,0.9998533725738525
GALAXY,0.7174669,7.427063906106923e-07
STAR,-6.305501e-05,0.9999850988388062
QSO,2.041903,4.2356172343716025e-05
STAR,1.056098,0.999292254447937
STAR,0.04995056,0.9996469020843506
GALAXY,-0.0001871023,4.884910595137626e-06
GALAXY,0.0001964752,3.315022695460357e-05
GALAXY,0.0005872222,4.769854967889842e-06
GALAXY,0.2130069,1.2300716662139166e-05
GALAXY,1.439003,1.178291131509468e-05
QSO,0.1869855,8.443838623861666e-07
GALAXY,0.1565161,6.144229701021686e-05
STAR,0.7965814,0.999994158744812
GALAXY,0.5615742,2.536327883717604e-06
GALAXY,0.1194903,5.743432325289177e-07
GALAXY,0.0,1.3767645441475906e-06
GALAXY,0.5629702,3.403397158763255e-06
GALAXY,-6.674627e-06,2.6155128580285236e-05
GALAXY,0.6459621,2.938121781426162e-07
GALAXY,1.579604,2.6027571493614232e-06
QSO,-0.0005493834,8.60259315231815e-05
QSO,1.54735,1.1283135563644464e-06
GALAXY,0.984524,3.838624706986593e-06
GALAXY,-8.471293e-05,1.7657968101048027e-06
QSO,0.1585888,7.494409510400146e-05
GALAXY,0.2415451,8.088976755971089e-06
QSO,1.729385,3.6687945339508587e-06
STAR,0.4775423,0.9967848062515259
GALAXY,0.6309077,5.802601663162932e-06
GALAXY,1.671924,8.842578245094046e-05
STAR,2.246547,0.9999562501907349
QSO,1.064533,1.1987540347035974e-05
GALAXY,0.1359685,3.83708402296179e-06
GALAXY,0.4365892,3.7109975892235525e-06
GALAXY,0.7363728,1.6518430356882163e-06
GALAXY,0.5662752,8.46585589897586e-06
GALAXY,1.281579e-05,3.635140819824301e-05
STAR,-0.0002650844,0.9996644258499146
GALAXY,0.0688978,2.600762627480435e-06
GALAXY,1.967915,1.7593237089386093e-06
GALAXY,0.08479584,9.017543561640196e-06
GALAXY,0.1821796,4.3602432242551004e-07
GALAXY,0.3420542,4.483172801883484e-07
GALAXY,0.9330732,5.8796331359189935e-06
GALAXY,7.775634e-05,4.965955895386287e-07
GALAXY,3.242243,0.00013521862274501473
GALAXY,0.1199237,4.8912647798715625e-06
STAR,2.399945,0.9979959726333618
GALAXY,0.1058671,1.8431729813528364e-06
GALAXY,0.4526299,1.4130679119261913e-05
GALAXY,0.5434642,6.715718882333022e-06
QSO,2.063598,9.783898349269293e-06
GALAXY,-7.686757e-05,1.4516577948597842e-06
QSO,1.642061,5.092580977361649e-06
QSO,0.136419,5.432661509985337e-06
GALAXY,2.083011,4.58447993878508e-06
GALAXY,0.1523187,8.356017247024283e-07
GALAXY,3.27411,1.7543105059303343e-05
GALAXY,-5.042727e-06,8.408958819927648e-06
GALAXY,0.1228791,9.291499736718833e-06
GALAXY,-1.94374e-05,5.810420589114074e-06
GALAXY,0.6252795,2.786013965305756e-06
GALAXY,0.3515728,7.303604547814757e-07
GALAXY,0.5445692,3.237597638872103e-06
GALAXY,0.09224807,1.1184911272721365e-05
STAR,1.507754,0.9889756441116333
STAR,-0.000795328,0.9999724626541138
GALAXY,0.06645162,5.095585038361605e-07
STAR,0.6542187,0.9999481439590454
QSO,-0.0006152479,2.887609662138857e-05
GALAXY,0.9559177,5.5788500503695104e-06
GALAXY,9.817741e-05,3.591533641156275e-06
GALAXY,-0.001122234,1.004470050247619e-05
QSO,0.0006920226,1.6102064819278894e-06
GALAXY,0.129432,1.6758451238274574e-05
QSO,0.3849981,6.793768534407718e-07
GALAXY,-4.500759e-06,5.1733390137087554e-05
GALAXY,3.063083,2.1759611627203412e-05
QSO,0.4783263,6.435677278204821e-06
STAR,0.8297252,0.9999865293502808
GALAXY,0.5471674,7.08955994923599e-05
GALAXY,2.276624,1.7017027857946232e-06
STAR,9.68617e-06,0.9995946288108826
GALAXY,-8.115307e-05,6.450584805861581e-06
QSO,0.6813191,2.5178377427437226e-07
QSO,-0.0002573141,2.161700422220747e-06
STAR,0.4616328,0.9999583959579468
GALAXY,0.8750001,9.324496659246506e-07
GALAXY,0.4383546,8.318257641803939e-06
GALAXY,1.464612,8.333981895702891e-06
QSO,0.4737509,4.4404831101019226e-07
GALAXY,0.508216,5.913773293286795e-06
STAR,-7.723131e-05,0.9999810457229614
GALAXY,-0.0004418209,8.622847963124514e-05
GALAXY,-3.968049e-05,3.7212782899587182e-06
STAR,0.5175182,0.9999711513519287
QSO,0.06369956,1.8028537169811898e-06
GALAXY,1.041379,7.4786266850424e-06
GALAXY,0.5164391,7.768297791699297e-07
GALAXY,2.402967,4.037685812363634e-06
STAR,1.568223,0.999935507774353
QSO,0.09955622,5.098676865600282e-06
GALAXY,2.401444,1.3656001556228148e-06
QSO,0.4986223,2.547238182160072e-06
GALAXY,-0.0001534616,1.9920513295801356e-05
GALAXY,-3.27067e-05,1.9458366296021268e-06
QSO,1.159883,0.0002770335413515568
GALAXY,1.684194,4.737187555292621e-05
GALAXY,-4.870068e-05,1.869943480414804e-05
QSO,-0.0005493027,6.312134792096913e-05
STAR,0.1067701,0.9999747276306152
STAR,0.5446869,0.999988317489624
GALAXY,3.099507,1.3617920558317564e-05
STAR,0.5436987,0.9997100234031677
GALAXY,0.1977241,2.354482148803072e-06
STAR,-0.0001614649,0.999966025352478
GALAXY,0.2081343,1.2996083569305483e-05
